Gender,OWN_CAR,OWN_REALTY,CNT_CHILDREN,ANN_INC,INC_CAT,EDU_LVL,STATUS,LIVING,OCCUPATION_TYPE,FAM_CNT,Age,Experience,target
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,58,3,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,52,8,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,Accountants,2,46,2,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,0
F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,Accountants,2,29,3,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,4,0
M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,5,34,3,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,0
F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,44,19,0
M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,45,14,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Accountants,1,46,3,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,0
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,13,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,3,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,0
F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,Accountants,2,29,2,0
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,2,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,0
F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,54,29,0
F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,39,7,0
F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,28,3,0
F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,3,39,1,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Accountants,2,48,2,0
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Accountants,4,30,6,0
M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,24,2,0
F,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,20,2,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,0
F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,Accountants,2,28,8,0
F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,Accountants,3,48,1,0
M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,Accountants,3,38,3,0
F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,Accountants,2,27,8,0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,56,15,0
M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,40,8,0
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,34,11,0
M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,Accountants,3,33,3,0
F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,12,0
F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,Accountants,1,36,1,0
M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,Accountants,4,35,11,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,41,7,0
F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,24,0,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,26,4,0
M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,Accountants,2,43,10,0
F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,0
F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,35,8,0
M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,Accountants,2,50,3,0
F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,Accountants,2,48,15,0
F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,23,0
F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,Accountants,2,33,2,0
F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,40,2,0
M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,Accountants,2,29,2,0
F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,Accountants,1,52,14,0
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,27,2,0
F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,43,24,0
F,N,N,0,202500.0,State servant,Higher education,Married,With parents,Accountants,2,39,3,0
M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,Accountants,2,28,4,0
M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Accountants,2,40,6,0
F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,41,13,0
F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,Accountants,1,44,5,0
M,Y,N,0,267750.0,Working,Higher education,Married,House / apartment,Accountants,2,57,12,0
F,N,N,0,139500.0,Working,Higher education,Separated,House / apartment,Accountants,1,44,19,0
M,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,14,0
M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,29,6,0
M,N,N,0,180000.0,Commercial associate,Lower secondary,Married,House / apartment,Accountants,2,57,0,0
F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,53,14,0
F,Y,N,0,900000.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,52,20,0
M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,40,1,0
F,N,N,2,225000.0,Working,Higher education,Married,House / apartment,Accountants,4,30,4,0
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,25,3,0
F,N,N,0,450000.0,State servant,Higher education,Married,House / apartment,Accountants,2,40,15,0
M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,Accountants,1,30,8,0
F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,Accountants,3,34,1,0
M,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,0,0
F,N,N,2,67500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,28,1,0
M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,Accountants,2,38,6,0
F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,52,1,0
F,N,N,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,53,2,0
M,N,N,0,108000.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,Accountants,1,22,3,0
M,N,N,0,198000.0,Working,Secondary / secondary special,Single / not married,With parents,Accountants,1,23,3,0
M,Y,N,0,360000.0,State servant,Higher education,Married,Municipal apartment,Accountants,2,40,3,0
M,Y,N,0,81000.0,Working,Secondary / secondary special,Married,With parents,Accountants,2,39,9,0
F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,Accountants,2,47,3,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,2,33,2,0
M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,44,17,0
M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,32,3,0
F,N,N,0,202500.0,Working,Higher education,Married,House / apartment,Accountants,2,44,13,0
